,intensidad,ocupacion,vmed,cong,anom,outlier
1389,1171,8,59,1,0,0
1390,1216,5,59,1,0,0
1391,1080,6,65,1,0,0
1392,851,5,56,1,0,0
1393,1095,7,63,1,0,0
1394,1128,8,58,1,0,0
1395,1020,3,60,1,0,0
1396,589,3,61,0,0,0
1397,1124,5,60,1,0,0
1398,1245,4,58,1,0,0
1399,492,2,63,0,0,0
1400,851,4,61,1,0,0
1401,750,5,61,0,0,0
1402,539,4,60,0,0,0
1403,825,4,59,1,0,0
1404,1140,6,63,1,0,0
1405,764,5,61,0,0,0
1406,740,3,62,0,0,0
1407,839,5,60,1,0,0
1408,936,4,58,1,0,0
1409,796,5,67,1,0,0
1410,750,3,67,0,0,0
1411,682,2,64,0,0,0
1412,1019,7,62,1,0,0
1413,921,5,62,1,0,0
1414,853,3,62,1,0,0
1415,870,3,63,1,0,0
1416,675,5,63,0,0,0
1417,1019,4,59,1,0,0
1418,1036,6,58,1,0,0
1419,1200,6,56,1,0,0
1420,1110,2,62,1,0,0
1421,1188,5,68,1,0,0
1422,900,3,60,1,0,0
1423,985,6,59,1,0,0
1424,991,6,60,1,0,0
1425,1155,7,59,1,0,0
1426,1236,8,58,1,0,0
1427,816,4,70,1,0,1
1428,564,3,58,0,0,0
1429,1079,7,58,1,0,0
1430,810,3,60,1,0,0
1431,851,5,55,1,0,0
1432,1045,5,59,1,0,0
1433,1057,5,59,1,0,0
1434,1260,6,58,1,0,0
1435,991,4,58,1,0,0
1436,1179,5,60,1,0,0
1437,810,3,58,1,0,0
1438,731,3,56,0,0,0
1439,804,3,60,1,0,0
1440,600,2,56,0,0,1
1441,801,3,61,1,0,0
1442,795,2,58,0,0,0
1443,660,2,60,0,0,0
1444,751,1,63,0,0,0
1445,371,1,63,0,0,0
1446,781,4,61,0,0,0
1447,601,1,65,0,0,0
1448,540,2,62,0,0,0
1449,480,2,64,0,0,0
1450,804,4,62,1,0,0
1451,435,1,59,0,0,0
1452,468,1,64,0,0,0
1453,780,3,56,0,0,0
1454,405,1,66,0,0,0
1455,480,2,59,0,0,0
1456,540,2,58,0,0,0
1457,464,2,63,0,0,0
1458,456,1,62,0,0,0
1459,216,1,63,0,0,0
1460,555,2,61,0,0,0
1461,381,2,63,0,0,0
